Sentence,Emoji
沙漏讓我們意識到時間的流逝,⌛
時間不等人，我們得趕快行動,⌛
一寸光陰一寸金，寸金難買寸光陰，沙漏裡的沙子一粒一粒地滑落,⌛
時間就像沙漏中的沙子一樣流逝,⌛
看著沙漏，感受到時間的壓力,⌛
沙漏代表著時間不停流逝,⌛
我們時間不多了,⌛
面對期限，我們感受到時間的壓力,⌛
作業快趕不上了,⌛
歲月如斯，不舍晝夜,⌛
我還有好多事情要完成，快到截止時間了,⌛
光陰一去不復返，快速流逝，不能浪費,⌛
感覺需要一個時光機，來逆轉時間,⌛
時間就像沙漏一樣，不斷流逝,⌛
作業快到截止時間了，趕快加緊腳步,⌛
日子過得好快，感覺剛剛才開始，就已經沒時間了,⌛
時間緊迫，趕快完成作業，不然要熬夜了,⌛
時間真是不夠用，感覺一晃就過去了,⌛
天呀！這堆工作好多，時間好像不夠用,⌛
時間在一分一秒的流逝，總是來不及,⌛
時光疾如電，好像無法追趕,⌛
歲月不待人，不容忽視,⌛
趕在截止時間之前完成作業，好有成就感,⌛
沙漏的聲音在耳邊響起，提醒我們時間有限,⌛
面對壓力，我常常感受到時間的緊迫,⌛
時間已經不多了，我們要趕緊出發,⌛
日月如梭，時間過得太快，猶如沙漏中的沙子不停流失,⌛
這項任務時間緊迫，我們必須趕快完成,⌛
每次逼近截止日期時，時間都變得特別寶貴,⌛
朋友送了我一個夜光沙漏，每次看都覺得神奇,⌛
沙漏的沙粒一點一滴地流動，時光也在不停推移,⌛
生活中的時間就像沙漏一樣，光陰似箭,⌛
等車的時候，總是覺得時間過得特別緩慢,⌛
等待的過程總是讓人感到無比漫長,⌛
時間緊迫，我們得趕快啟程了,⌛
不斷流失的沙漏的流沙如同微小的時間粒子,⌛
雖然在等車的時候感覺時間很長，但其實轉眼即逝,⌛
時間的流轉彷彿在說著故事,⌛
沙漏的時間流逝總是那麼不容易察覺，彷彿一瞬間,⌛
我們要趕快完成這項任務，時間就像沙漏,⌛
日月既往，不可復追，沙漏逐漸耗盡，提醒我們抓緊每一刻,⌛
時間就像沙漏中的沙粒，不容忽視,⌛
時間逼近，我們必須儘快完成工作,⌛
光陰不停流轉，提醒我們抓住當下,⌛
期限迫在眉睫，我們必須趕在截止前完成,⌛
荒廢時間等於荒廢生命,⌛
時光匆匆，逝者如斯,⌛
走過大段人生，時間好像被壓縮了一樣，眨眼間就過去了,⌛
倒數計時心情緊張,⌛
這幾天天氣很差，雨水淋濕了一切,☔
外頭陰雨連連，這種雨天最適合睡覺,☔
窗外下雨了，記得撐傘,☔
路上大雨滂沱，路滑要小心,☔
大雨瘋狂地從天而降，黑沉沉的天就像要崩塌下來,☔
霎時間，雨大的像是天上的銀河泛濫了一般，從天邊狂瀉而下,☔
等待雨，是傘一生的宿命,☔
午後突然大雨來襲，街上的行人為了不被淋濕匆忙中找尋躲雨的地方,☔
悠閒漫步雨中，感受大自然的洗禮,☔
今天居然沒帶傘，只好躲在商店門口避雨,☔
出門前記得帶把傘，防止突如其來的大雨驟降,☔
今天下雨了，不適合出門。,☔
買了新雨傘，下次下雨可以上場,☔
在雨中漫步，感受著濕潤的空氣，享受大自然的味道,☔
想和你一起撐傘漫步雨中，默默牽手走過，你卻將傘拋在風中，擁抱雨和我,☔
雨勢突然增大，大家紛紛拿出五顏六色的傘，街頭變成了彩色,☔
出門前看了天氣預報，聽說會，準備帶把傘,☔
突然下起傾盆大雨，路上滿是水坑，積水讓行人小心翼翼,☔
傘都忘記帶了，突然下起大雨，濕透了,☔
走在微微細雨中，感受雨滴打在臉上的清涼感,☔
今天雨勢真大，撐傘才能勉強走在路上,☔
這個周末天氣好像不太穩定，要注意帶雨傘。,☔
最近是梅雨季，常常下雨，出門一定要記得攜帶雨具！,☔
夏天的午後時常有午後雷陣雨，別忘了放把傘在背包中,☔
豆大的雨點像斷了線的珍珠不斷地落下，雨越下越大，落在地上的雨不久就匯成了小溪,☔
大滴大滴的雨水如子彈一般射來，打得樹葉子嘩嘩地響，落到人身上也有些痛。,☔
一霎時，雨點連成了線，"嘩"的一聲，大雨就像天塌了似的鋪天蓋地從天空中傾瀉下來。,☔
天空突然暗了下來，大雨像一片巨大的瀑布鋪天蓋地地卷了過來。,☔
天氣說變就變，突然間淅淅瀝瀝地下起了雨。一滴一滴的小雨點就像一個個精靈，調皮的落到了塵土飛揚的大地上,☔
秋天的雨瀟瀟瑟瑟，總會帶給人一種凄涼的感覺。,☔
君問歸期未有期，巴山夜雨漲秋池。,☔
春潮帶雨晚來急，野渡無人舟自橫。,☔
清明時節雨紛紛，路上行人慾斷魂。,☔
簾外雨潺潺，春意闌珊。,☔
昨夜雨疏風驟，濃睡不消殘酒。,☔
雨絕蒼苔地，月斜青草階。,☔
雨中衣半濕，擁鼻自知心。,☔
四季時而有雨，有你傘便是多餘,☔
撐著油紙傘，獨自彷徨在悠長、悠長，又寂寥的雨巷,☔
餘光中，等你，在雨中，在造虹的雨中,☔
冬天的雨，淅淅瀝瀝的小雨，輕輕灑落在我的心底,☔
今天下午，太陽突然休假了，下起了綿綿細雨。雨，從天空中飄下來，像是仙女灑下的根根細線,☔
天灰蒙蒙的，十分得冷，抬起頭，沒想到雨竟已靜悄悄地下了起來。,☔
如絲的小雨從空中降落，雨點是那樣小，雨簾是那樣密，給群山披上蟬翼般的白紗。,☔
像霧似的雨，像雨似的霧，絲絲縷縷纏綿不斷。,☔
雨滴就像千萬個傘兵，從空中跳下來，安全地降落在地面上。,☔
天空本是晴空萬里，轉眼就被蓋上了一塊黑布。白雲穿上了黑色的禮服，告知著我們一場傾盆大雨即將來臨。,☔
雨下整夜，我的愛溢出就像雨水,☔
最美的不是下雨天，是曾與你躲過雨的屋簷,☔
怎樣的雨，怎樣的夜，雨要多大，天要多黑？,☔
這家咖啡店的拿鐵真是太香了。,☕
今天在郊外散步，意外發現了一家美味的咖啡店,☕
冰美式清新宜人,☕
沒有咖啡的日子總是覺得少了些什麼,☕
寒冷冬夜喝著熱飲，感覺身體被溫暖了起來,☕
喝杯香濃的熱巧克力，仿佛在品味愉悅的人生,☕
以前媽媽早上總會泡一杯香濃的奶茶給我喝,☕
黑咖啡苦澀是大人的味道，也是深夜的知己,☕
這個冬天好冷，想快點來杯熱飲。,☕
這個地方的星巴克咖啡真的很好喝。,☕
今天上班迷迷糊糊，需要一杯濃咖啡提提神。,☕
寒冷的天最愛在家裡喝一杯熱可可拿鐵,☕
喝杯熱茶，草本茶總是能讓我放鬆,☕
來一壺清香綠茶或者花草茶，茶葉香總是能醒腦,☕
黑咖啡裡的苦澀，像一場深沉的對話,☕
一杯香濃的卡布奇諾，讓人心情愉悅,☕
人生就是一杯咖啡，聞起來是香的，嘗起來是苦的。,☕
初戀就如同一杯咖啡，開頭是苦澀的，而你慢慢品嘗就會是清甜的。,☕
麻烦你笑一下，我的咖啡忘了加糖。,☕
美式咖啡雖苦，卻又香又濃；愛情雖甜，卻又苦又澀。,☕
風冷的時候就想捧著一杯熱巧克力，或者阿華田、美錄。,☕
香濃經典的黑巧克力加入了棉花糖，絲滑可可與牛奶的黃金分割比例，給自己的愛人暖暖胃。,☕
我想送你一杯熱可可，隨時手心，有我陪著。我要送你一杯熱可可，載著十二月的溫熱。,☕
讓熱巧克力溫暖冰冷的天吧,☕
冬日來襲，令人忍不住想喝一杯甜甜的熱巧克力。,☕
一勺亮滑的黑巧克力，如慕斯般靜躺在瓷碗內。,☕
將濃稠的熱巧克力倒入玻璃杯裡，用烤過的棉花糖沾熱巧克力品嚐，令人彷彿置身在營火旁取暖。,☕
杯中注滿了又香又濃的熱巧克力，用一整塊布朗尼蓋住，是最適合暖身子的飲品了。,☕
街角的80°熱奶茶配巧克力，暖的像鑽進戀人的懷抱。,☕
精緻生活，暖冬熱飲。,☕
天冷喝暖飲，暖胃又暖心。,☕
沖一杯熱茶，舒心又提神,☕
沒加糖的熱奶茶，不是遺忘了，是記成了你的習慣,☕
低氣溫裡喝著熱飲，特別想你，即使無糖，都還是甜進心裡,☕
夜歸不到應閒事，熱飲三杯即是家。,☕
爐煨榾柮雪煎茶，松竹環居耐歲華。,☕
熱飲以淺碟子托著杯子端給客人，女客們便將正燙著的咖啡或熱飲倒進淺碟子裡面,☕
坐在街邊暖暖的飲品店裡，捧著一杯熱飲,☕
